a,r,b
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: adoption, id: adoption, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: mobile technologies, id: mobile technologies, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: households, id: households, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: families, id: families, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: young, id: young, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: children, id: children, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: oral, id: oral, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: information, id: information, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: times, id: times, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: locations, id: locations, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: adoption, id: adoption, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: mobile technologies, id: mobile technologies, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: households, id: households, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: families, id: families, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: young, id: young, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: children, id: children, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: oral, id: oral, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: information, id: information, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})","[:RELATION {sentence: Abstract Background The universal adoption of mobile technologies by households has created an opportunity to provide families with young children with access to high-quality oral health information at convenient times and locations., evidence_score: 1.0, relation_type: treats, type: treats, source_file: 13055942.txt}]","(:Unknown {ontology_id: UNKNOWN, name: times, id: times, type: Unknown})"
